0.0,	-0.0229205639
0.1,	0.1776006873
0.2,	-0.0176002628
0.3,	0.3566053853
0.4,	0.1523873388
0.5,	0.4796639149
0.6,	0.4718992097
0.7,	0.4690179035
0.8,	0.5261086238
0.9,	0.8444754262
1.0,	0.7778482423
1.1,	0.6727544746
1.2,	0.6353892968
1.3,	0.6956312542
1.4,	0.5916544801
1.5,	0.6568639497
1.6,	0.8572579492
1.7,	0.3901739126
1.8,	0.6725284723
1.9,	1.0618484749
2.0,	0.8549042555
2.1,	0.7083136798
2.2,	0.8146580553
2.3,	0.5795782696
2.4,	0.6599296509
2.5,	0.9213696346
2.6,	0.7893117492
2.7,	0.1638736779
2.8,	0.6779562958
2.9,	0.5186433182
3.0,	0.6809327177
3.1,	1.2385610579
3.2,	1.3236439890
3.3,	0.9895619445
3.4,	0.6628938978
3.5,	1.2394916852
3.6,	1.3472185586
3.7,	0.8121229217
3.8,	1.0299451920
3.9,	1.1205790500
4.0,	1.3531564213
4.1,	1.2783507477
4.2,	0.5294432272
4.3,	1.4133079492
4.4,	0.5727254794
4.5,	1.6098125866
4.6,	1.5281190171
4.7,	1.6671300711
4.8,	1.6669736167
4.9,	1.3655190193
5.0,	0.5737254386
5.1,	1.8483485346
5.2,	1.0928500923
5.3,	1.7667460739
5.4,	0.9879740705
5.5,	0.9382601586
5.6,	1.2260495964
5.7,	1.8756534866
5.8,	1.7078037060
5.9,	1.3875439411
6.0,	1.7534265315
6.1,	1.5582110439
6.2,	1.4296049787
6.3,	1.9006128510
6.4,	1.7086834656
6.5,	1.9535064429
6.6,	1.7880774535
6.7,	1.9888945037
6.8,	1.6864462700
6.9,	2.2007067523
7.0,	1.7361188346
7.1,	2.1189373024
7.2,	1.4910865110
7.3,	0.8276963551
7.4,	1.7590135012
7.5,	1.8337859666
7.6,	1.5626447200
7.7,	1.8294742090
7.8,	1.7069729333
7.9,	1.5756483851
8.0,	2.3157509190
8.1,	0.9966654151
8.2,	2.0554236903
8.3,	1.8956720650
8.4,	1.8137826828
8.5,	2.3508180688
8.6,	1.5833756918
8.7,	1.9642446942
8.8,	0.5814382124
8.9,	2.0990585702
9.0,	2.0120938548
9.1,	1.8328340734
9.2,	1.7377087206
9.3,	2.3859817913
9.4,	2.4073518557
9.5,	1.0011619682
9.6,	2.3844271770
9.7,	2.0847948539
9.8,	2.4710554389
9.9,	1.8045907105
